
20181203  AL | nATRExit: 4.5 | nPeriodBreak: 70 | nATR: 15

20090218  AL ：开多 | Bar序号：1
20140923  J ：平多开空 | Bar序号：827

20141010  J ：平空 | Bar序号：835

20141014  J ：开空 | Bar序号：837

20141027  J ：平空开多 | Bar序号：846

20141105  J ：平多开多 | Bar序号：853

20141119  J ：平多开空 | Bar序号：863

20141128  J ：平空 | Bar序号：870

20141203  J ：开多 | Bar序号：873

20141223  J ：平多开空 | Bar序号：887

20141231  J ：平空开空 | Bar序号：893

20150109  J ：平空开多 | Bar序号：898

20150123  J ：平多 | Bar序号：908

20150127  J ：开多 | Bar序号：910

20150226  J ：平多开多 | Bar序号：927

20150306  J ：平多开空 | Bar序号：933

20150414  J ：平空 | Bar序号：959

20150428  J ：开多 | Bar序号：969

20150430  J ：平多 | Bar序号：971

20150521  J ：开多 | Bar序号：985

20150615  J ：平多开空 | Bar序号：1002

20150706  J ：平空 | Bar序号：1016

20150707  J ：开空 | Bar序号：1017

20150813  J ：平空开多 | Bar序号：1043

20150818  J ：平多 | Bar序号：1046

20150826  J ：开多 | Bar序号：1051

20150907  J ：平多 | Bar序号：1057

20150915  J ：开空 | Bar序号：1063

20151126  J ：平空 | Bar序号：1110

20151201  J ：开空 | Bar序号：1113

20151221  J ：平空 | Bar序号：1127

20151222  J ：开空 | Bar序号：1128

20151231  J ：平空开多 | Bar序号：1135

20160107  J ：平多 | Bar序号：1139

20160113  J ：开多 | Bar序号：1143

20160310  J ：平多 | Bar序号：1179

20160317  J ：开空 | Bar序号：1184

20160401  J ：平空开多 | Bar序号：1195

20160418  J ：平多 | Bar序号：1205

20160419  J ：开多 | Bar序号：1206

20160506  J ：平多 | Bar序号：1218

20160513  J ：开空 | Bar序号：1222

20160627  J ：平空 | Bar序号：1250

20160628  J ：开多 | Bar序号：1251

20160719  J ：平多 | Bar序号：1266

20160726  J ：开多 | Bar序号：1271

20160816  J ：平多 | Bar序号：1286

20160818  J ：开多 | Bar序号：1288

20160901  J ：平多 | Bar序号：1298

20160913  J ：开多 | Bar序号：1306

20161116  J ：平多 | Bar序号：1345

20161123  J ：开空 | Bar序号：1350

20170111  J ：平空 | Bar序号：1384

20170117  J ：开空 | Bar序号：1388

20170214  J ：平空 | Bar序号：1403

20170221  J ：开空 | Bar序号：1408

20170302  J ：平空开多 | Bar序号：1415

20170410  J ：平多 | Bar序号：1440

20170413  J ：开空 | Bar序号：1443

20170524  J ：平空 | Bar序号：1471

20170601  J ：开空 | Bar序号：1475

20170615  J ：平空 | Bar序号：1485

20170620  J ：开空 | Bar序号：1488

20170628  J ：平空开多 | Bar序号：1494

20170901  J ：平多 | Bar序号：1541

20170918  J ：开空 | Bar序号：1552

20171107  J ：平空 | Bar序号：1582

20171109  J ：开多 | Bar序号：1584

20171208  J ：平多 | Bar序号：1605

20171215  J ：开空 | Bar序号：1610

20171219  J ：平空 | Bar序号：1612

20171228  J ：开多 | Bar序号：1619

20180116  J ：平多 | Bar序号：1631

20180117  J ：开多 | Bar序号：1632

20180306  J ：平多 | Bar序号：1661

20180312  J ：开多 | Bar序号：1665

20180320  J ：平多开空 | Bar序号：1671

20180404  J ：平空 | Bar序号：1682

20180419  J ：开多 | Bar序号：1691

20180523  J ：平多 | Bar序号：1713

20180613  J ：开多 | Bar序号：1728

20180620  J ：平多 | Bar序号：1732

20180628  J ：开多 | Bar序号：1738

20180703  J ：平多 | Bar序号：1741

20180706  J ：开空 | Bar序号：1744

20180724  J ：平空 | Bar序号：1756

20180725  J ：开空 | Bar序号：1757

20180730  J ：平空开多 | Bar序号：1760

20180822  J ：平多 | Bar序号：1777

20180904  J ：开空 | Bar序号：1786

20180925  J ：平空 | Bar序号：1800

20181011  J ：开空 | Bar序号：1807

20181119  J ：平空 | Bar序号：1834

20181122  J ：开多 | Bar序号：1837

20181126  J ：平多开空 | Bar序号：1839

20181203  RB | nATRExit: 2.5 | nPeriodBreak: 23 | nATR: 15

20091124  RB ：开多 | Bar序号：1

