
20170921  沪铝1711 | nATRExit: 3.8 | nPeriodBreak: 17 | nATR: 15

20090218  沪铝1711 ：开多 | Bar序号：1
20150115  棉花1801 ：开空 | Bar序号：2179

20150205  棉花1801 ：平空开多 | Bar序号：2194

20150310  棉花1801 ：平多开空 | Bar序号：2212

20150423  棉花1801 ：平空开多 | Bar序号：2243

20150513  棉花1801 ：平多 | Bar序号：2256

20150520  棉花1801 ：开空 | Bar序号：2261

20150710  棉花1801 ：平空 | Bar序号：2297

20150803  棉花1801 ：开空 | Bar序号：2312

20150814  棉花1801 ：平空 | Bar序号：2321

20150820  棉花1801 ：开多 | Bar序号：2325

20150827  棉花1801 ：平多开空 | Bar序号：2329

20151102  棉花1801 ：平空 | Bar序号：2369

20151103  棉花1801 ：开多 | Bar序号：2370

20151130  棉花1801 ：平多开空 | Bar序号：2389

20160128  棉花1801 ：平空开多 | Bar序号：2431

20160205  棉花1801 ：平多开空 | Bar序号：2437

20160308  棉花1801 ：平空 | Bar序号：2454

20160412  棉花1801 ：开多 | Bar序号：2478

20160429  棉花1801 ：平多 | Bar序号：2491

20160510  棉花1801 ：开空 | Bar序号：2497

20160531  棉花1801 ：平空开多 | Bar序号：2510

20160711  棉花1801 ：平多 | Bar序号：2537

20160714  棉花1801 ：开多 | Bar序号：2540

20160801  棉花1801 ：平多开空 | Bar序号：2552

20160920  棉花1801 ：平空开多 | Bar序号：2586

20161020  棉花1801 ：平多开空 | Bar序号：2603

20161111  棉花1801 ：平空开多 | Bar序号：2619

20161115  棉花1801 ：平多 | Bar序号：2621

20161122  棉花1801 ：开多 | Bar序号：2626

20161221  棉花1801 ：平多开空 | Bar序号：2647

20170124  棉花1801 ：平空开多 | Bar序号：2670

20170223  棉花1801 ：平多开空 | Bar序号：2687

20170302  棉花1801 ：平空开多 | Bar序号：2692

20170309  棉花1801 ：平多 | Bar序号：2697

20170313  棉花1801 ：开空 | Bar序号：2699

20170414  棉花1801 ：平空开多 | Bar序号：2721

20170509  棉花1801 ：平多开空 | Bar序号：2737

20170516  棉花1801 ：平空开多 | Bar序号：2742

20170519  棉花1801 ：平多 | Bar序号：2745

20170601  棉花1801 ：开空 | Bar序号：2752

20170718  棉花1801 ：平空开多 | Bar序号：2785

20170725  棉花1801 ：平多 | Bar序号：2790

20170727  棉花1801 ：开空 | Bar序号：2792

20170809  棉花1801 ：平空 | Bar序号：2801

20170811  棉花1801 ：开多 | Bar序号：2803

20170915  棉花1801 ：平多 | Bar序号：2828

20170921  股指1710 | nATRExit: 2.5 | nPeriodBreak: 17 | nATR: 15

20100419  股指1710 ：开多 | Bar序号：1

20100420  股指1710 ：平多开空 | Bar序号：2

20100512  股指1710 ：开空 | Bar序号：17

20100720  股指1710 ：平空 | Bar序号：63

20100721  股指1710 ：开多 | Bar序号：64

20101115  股指1710 ：平多开空 | Bar序号：139

20110215  股指1710 ：平空开多 | Bar序号：199

20110316  股指1710 ：平多 | Bar序号：220

20110407  股指1710 ：开多 | Bar序号：234

20110427  股指1710 ：平多 | Bar序号：248

20110428  股指1710 ：开空 | Bar序号：249

20110627  股指1710 ：平空开多 | Bar序号：289

20110726  股指1710 ：平多开空 | Bar序号：310

20111028  股指1710 ：平空开多 | Bar序号：372

20111121  股指1710 ：平多开空 | Bar序号：388

20120111  股指1710 ：平空开多 | Bar序号：423

20120326  股指1710 ：平多开空 | Bar序号：471

20120413  股指1710 ：平空 | Bar序号：482

